question_id,field_name,question_type,answer_code,answer_label,category_or_flag,score_value,scoring_notes
Q1,rent_own_status,single_select,A,Rent,,,
Q1,rent_own_status,single_select,B,Own,,,
Q1,rent_own_status,single_select,C,Live with family / do not personally rent or own,,,
Q1,rent_own_status,single_select,D,Student housing / dorm,,,
Q1,rent_own_status,single_select,E,Other: ______,,,
Q2,home_type,single_select,A,Detached house,,,
Q2,home_type,single_select,B,Semi-detached house,,,
Q2,home_type,single_select,C,Townhouse,,,
Q2,home_type,single_select,D,Condo,,,
Q2,home_type,single_select,E,Apartment,,,
Q2,home_type,single_select,F,Basement apartment,,,
Q2,home_type,single_select,G,Shared housing / roommate situation,,,
Q2,home_type,single_select,H,Other: ______,,,
Q3,household_size,single_select,A,1,,,
Q3,household_size,single_select,B,2,,,
Q3,household_size,single_select,C,3,,,
Q3,household_size,single_select,D,4,,,
Q3,household_size,single_select,E,5+,,,
Q4,decor_control_areas,multi_select,A,Bedroom,relevant_space,2,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,B,Desk / workspace,relevant_space,3,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,C,Gaming setup,relevant_space,3,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,D,TV stand / media area,relevant_space,3,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,E,Shelf / display area,relevant_space,3,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,F,Living room,relevant_space,1,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,G,Kitchen,other_space_or_low_control,0,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,H,Dining area,other_space_or_low_control,0,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,I,Entryway / hallway,other_space_or_low_control,0,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,J,Balcony / patio,other_space_or_low_control,0,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,K,Entire home,relevant_space,3,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,L,I do not have much control over decorating,other_space_or_low_control,0,Relevant space control points; cap Q4 section at 10.
Q4,decor_control_areas,multi_select,M,Other: ______,other_space_or_low_control,0,Relevant space control points; cap Q4 section at 10.
Q5,primary_decorator,single_select,A,Mostly me,decor_authority,5,Decorating/purchase authority points; cap Q5/Q6/Q7 at 15.
Q5,primary_decorator,single_select,B,Mostly my partner / spouse,other_decorator,0,Decorating/purchase authority points; cap Q5/Q6/Q7 at 15.
Q5,primary_decorator,single_select,C,Mostly a parent or family member,other_decorator,0,Decorating/purchase authority points; cap Q5/Q6/Q7 at 15.
Q5,primary_decorator,single_select,D,Mostly a roommate,other_decorator,0,Decorating/purchase authority points; cap Q5/Q6/Q7 at 15.
Q5,primary_decorator,single_select,E,Shared evenly between multiple people,decor_authority,4,Decorating/purchase authority points; cap Q5/Q6/Q7 at 15.
